Código;Cond. Pagto;Descricao
771;0,37,30;COND JUR 37X
772;0,38,30;COND JUR 38X
773;0,39,30;COND JUR 39X
774;0,40,30;COND JUR 40X
775;44,30,0;44 PARCELAS
782;0,48,30;COND JUR 48X
850;5,6,30;5� DIA EM 6X
851;6,4,5;5� DIA EM 6X
852;11,24;11,24
853;00,25,56;HOJE+5�DIA-2X
855;11,24;11,24 DIAS
857;66;66 DIAS
877;16,43,71;13,43,71 DIAS
888;16,43,71;16,43,71 DIAS
889;20,50,81;20,50,81 DIAS
897;20,4;20,40 DIAS
899;40,61;40,61 DIAS
900;30,30,145;145 PARCELAS
901;59,30,30;145 PARCELAS
928;26,55;26,55 DIAS
988;11,32;11,32 DIAS
989;1,75,4;75 DIAS QUARTAS
999;0;PEDIDO DE VENDA
02A;21,42,63;21,42,63 DIAS
02P;2;2 PARCELAS
11A;11,21,42;11/21/42
11Y;191;191 DIAS
1A;4;4 PARCELAS
1D;1;1DIA
25A;24,0,25;24X TODO DIA 25
25B;36,0,25;36X TODO DIA 25
3X;0;ATO+28+56
5D1;5;5 PARCELAS
A01;60,24,30;PARC 09 ICMS
A1;156;156 DIA
A10;20,40,60,80,100;20,40,60,80,100
A2;177;177 DIAS
A3;198;198 DIA
A32;15,30,60,90,120,150,180;15,30,60,90,120
A36;136;136 DIAS
A4;17,41,66,91;17,41,66,91DIAS
A5;17,48,80,111;17,48,80,111DIA
A62;62,30,3;PARCELAS
AAA;537,38,30;PARC. 537 DIAS
AAB;45,00,10;45 PARCELAS
AGB;1,30,5;AGROBIOLOGICA
AGC;1,30,5;AGRICONNECTION
AGF;1,15,10,25;AGROFEL
AGR;1,30,15,25;AGRICHEM
AM;1,15,20;AGRO AMAZONIA
ARK;1,45,5,0;BOSTIK
ARY;1,1,9;PGTO 4X ANO
AZ3;15,30,60,90,120,150,180;15,30,60,90,120
B14;2,14;02,14DIAS
B20;20,45;20,45DIAS
B30;300;300 DIAS
B50;23,51;23,51DIAS
BA1;10,30,60,90;4 PARCELAS
BHN;1,15,10,20;VENC 10 E 20
BRA;1,90,4;BRAVO
BRV;1,60,4;60 DIAS QUARTAS
C10;28,57,84;28,57,84DIAS
CAR;0;CARTAO DE CREDI
CDC;7,28;7,28DIAS
CHR;1,35,5,0;35 DIAS-QUINTA
CN1;7,14,21;7,14,21  DIAS
CTV;1,90,3,0;CTVA
CXX;15,3;15/30 DIAS
D1;20,4;20,40DIAS
D10;28,56;28,56DIAS
D2;28,42,56;28,42,56 DIAS
D5;1,30,60;1,30,60DIAS
D50;15,15,45;15,15,45DIAS
D89;89;89 DIAS
DD0;20,40,60,80;20/40/60/80 DIA
DDA;38,69;38,69DIAS
DDD;10,4;10,4
E03;0,03;0,03
E1;27,41;27,41DIAS
E20;12,42;12,42DIAS
E22;15,32;15,32DIAS
E23;56,86;56,86DIAS
E25;19,39,59;19,39,59DIAS
E26;26,56,86;26,56,86DIAS
E30;3,33,64,95,125;3,33,64,95,125D
E45;21,48;21,48DIAS
E47;25,50,75,100;25,50,75,100DIA
E49;4,9;4,9
E78;18,49;18,49DIAS
F01;12,29,1;PR'S DO DIA 01
F02;12,30,2;PR'S DO DIA 02
F03;12,29,3;PR'S DO DIA 03
F04;12,29,4;PR'S DO DIA 04
F05;12,29,5;PR'S DO DIA 05
F06;12,29,6;PR'S DO DIA 06
F07;12,29,7;PR'S DO DIA 07
F08;12,29,8;PR'S DO DIA 08
F09;12,29,9;PR'S DO DIA 09
F10;12,29,10;PR'S DO DIA 10
F11;12,29,11;PR'S DO DIA 11
F12;12,29,12;PR'S DO DIA 12
F13;12,29,13;PR'S DO DIA 13
F14;12,29,14;PR'S DO DIA 14
F15;12,29,15;PR'S DO DIA 15
F16;12,29,16;PR'S DO DIA 16
F17;12,29,17;PR'S DO DIA 17
F18;12,29,18;PR'S DO DIA 18
F19;12,29,19;PR'S DO DIA 19
F20;12,29,20;PR'S DO DIA 20
F21;12,29,21;PR'S DO DIA 21
F22;12,29,22;PR'S DO DIA 22
F23;12,29,23;PR'S DO DIA 23
F24;12,29,24;PR'S DO DIA 24
F25;12,29,25;PR'S DO DIA 25
F26;12,29,26;PR'S DO DIA 26
F27;12,29,27;PR'S DO DIA 27
F28;12,29,28;PR'S DO DIA 28
F29;12,29,29;PR'S DO DIA 29
F30;12,29,30;PR'S DO DIA 30
F45;21,45;21,45DIAS
F5;3;3 PARCELAS
F59;59,28,30;PARCELAMENTO
F60;28,42,56;28,42,56 DIAS
F61;16,26,47,57;16 26 47 57 DIA
F63;16,37;16,37 DIAS
F64;24,49,74,97;24,49,74,97 DIA
F65;8,16;8,16 DIAS
F66;30,50,75;30,50,75 DIAS
F67;51,66;51,66 DIAS
F68;28,84;28,84 DIAS
F69;12,32,54;12,32,54 DIAS
F70;0,30,60;ATO+30/60
F71;0,3;ATO+30
F72;0,28,56,84;ATO+28/56/84
F73;0,41;ATO+41DIAS
F74;0,15,30;ATO+15/30
F75;82;82 DIAS
F76;112;112 DIAS
F77;143;143 DIAS
F78;174;174 DIAS
F79;204;204 DIAS
F80;235;235 DIAS
F81;265;265 DIAS
F82;73;73 DIAS
F83;31,61;31,61 DIAS
F84;20,39,89;20,39,89 DIAS
F90;30,61;30,61 DIAS
